Dish,Protein (g),Fat (g),Carbohydrates (g),cuisines,allergy,Tags,image_url
baby corn manchurian,2,15,7,"[""American""]","[""seasme""]","[""Breakfast"",""Snacks""]",https://media.istockphoto.com/id/1149247145/photo/baby-corn-manchurian-dry-popular-indo-chinese-starter-recipe-selective-focus.jpg?s=612x612&w=0&k=20&c=T70ScYaoSJDa9dmieXkeI0e8ZHUy2bQGVXvTzIAK76c=
baingan bharta,5,5,10,"[""Indian""]","[""seasme""]","[""Snacks""]",https://media.istockphoto.com/id/1437118868/photo/dhaba-style-baingan-bharta-or-mashed-eggplant-curry.jpg?s=612x612&w=0&k=20&c=cUr_zcxvLawS3mGnlw3Ln04N6jWr9UDcr8rGmiupxLQ=
basil,1,6,4,"[""Indian""]","[""seasme""]","[""NA""]",https://media.istockphoto.com/id/104233836/photo/basil-sprig.jpg?s=612x612&w=0&k=20&c=2BwUsiekJuLpSCJLkC1tP67wjXgK0PxekUT1LZb64r8=
bean sprouts,2,21,16,"[""Indian"", ""Japanese"", ""American"", ""Italian"", ""Mexican"", ""Mediterranean"", ""Seafood"", ""Chinese"", ""Thai""]","[""seasme""]","[""Breakfast"",""Snacks""]",https://media.istockphoto.com/id/1127740593/photo/sprouted-lentil-salad.jpg?s=612x612&w=0&k=20&c=Bwk-ToqNq7py8FBjQHnLQnOUDEP9cFtrV224w4f4Hzs=
beef curry,3,21,1,"[""Indian"", ""Japanese"", ""American"", ""Italian"", ""Mexican"", ""Mediterranean"", ""Seafood"", ""Chinese"", ""Thai""]","[""seasme""]","[""Breakfast"",""Snacks""]",https://media.istockphoto.com/id/600683234/photo/japanese-style-beef-curry-over-rice.jpg?s=612x612&w=0&k=20&c=M7Qv9pchvDj1wyZ95IDwb-g37LVlRwEJqU2q4C7dzuI=
Beet Polenta Bowl,2,0,4,"[""Indian"", ""Japanese"", ""American"", ""Italian"", ""Mexican"", ""Mediterranean"", ""Seafood"", ""Chinese"", ""Thai""]","[""seasme""]","[""Breakfast"",""Snacks""]",https://media.istockphoto.com/id/1280907289/photo/beetroot-hummus-in-white-bowl-with-chickpeas-and-crackers.jpg?s=612x612&w=0&k=20&c=l4i1hIJQKdYyWfOTBW8UeIulEBclp9pfwZH8yTUBBnc=
Roasted Bell Peppers with garlic and herbs,28,8,8,"[""Indian""]","[""seasme""]","[""NA""]",https://media.istockphoto.com/id/495146082/photo/salad-baked-eggplant-and-fresh-tomatoes.jpg?s=612x612&w=0&k=20&c=q623rWewuO_m5Zh95eyNFCLqBznkTy_XmJ322-PQYDc=
bhel puri,2,22,8,"[""Italian""]","[""seasme""]","[""NA""]",https://media.istockphoto.com/id/1158187601/photo/bhelpuri-chaat-chat-is-indian-street-food.jpg?s=612x612&w=0&k=20&c=bDY2H5obmUaknZ-uoT2Zjxk466BmhOpgmQOnT_SYrS4=
bhindi masala,1,0,5,"[""Mediterranean""]","[""seasme""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/516316282/photo/indian-masala-fried-bhindi-or-ladyfinger-curry.jpg?s=612x612&w=0&k=20&c=IRTS-aCjpujiT5Y62vT3SKDGCcPg5GFtMu4Arl9ETjY=
blackberries bowl,7,5,15,"[""Indian""]","[""seasme""]","[""Breakfast"",""Snacks"",""NA""]",https://media.istockphoto.com/id/817121698/photo/bowl-of-fresh-blackberries-on-stone-background.jpg?s=612x612&w=0&k=20&c=uPRErzKWwSBM9fS0od6tOVJzgr3Nxl4abji52twIfcM=
Bok Choy and Beef Stir fry,5,5,15,"[""Indian""]","[""Dairy""]","[""Snacks""]",https://media.istockphoto.com/id/642257588/photo/beef-and-broccoli-with-udon-noodle-stir-fry.jpg?s=612x612&w=0&k=20&c=O4b8xLIAlc8-3x4oWbHXt-2PM0uIcBu3ucvRMAKbpO4=
bottled water,4,4,5,"[""Indian""]","[""Dairy""]","[""NA""]",https://media.istockphoto.com/id/185072125/photo/bottle-of-spring-water.jpg?s=612x612&w=0&k=20&c=8uCYpbrjtHF9Gx-P3zQ27aDafFB_oJcxzXzry9CrnRc=
Chicken Broccoli Casserole,2,1,10,[],"[""Dairy""]","[""Snacks""]",https://media.istockphoto.com/id/1186699789/photo/baked-broccoli-with-chicken-in-a-ceramic-form-on-a-wooden-table-selective-focus.jpg?s=612x612&w=0&k=20&c=pMgZdhwSBl8jfFch2jPZia6SV69WHHJD8kXAfkssI4w=
brussels sprouts,1,21,7,"[""American"", ""Mediterranean""]","[""Dairy""]","[""Snacks""]",https://media.istockphoto.com/id/1434816265/photo/crispy-roasted-or-air-fried-brussel-sprouts.jpg?s=612x612&w=0&k=20&c=4NK6TDysvF26nnVQBuCqsIh1xuB9rtXGf7WaoAnJ350=
butter chicken,2,21,1,"[""Chinese""]","[""Dairy""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/1170729895/photo/indian-butter-chicken-horizontal-photo.jpg?s=612x612&w=0&k=20&c=4bZViynoVnP1HaWHIY1k5FvW-dj9DM2EOMHbKnAqYZ4=
butternut squash,0,21,21,[],"[""Dairy""]","[""Drinks""]",https://media.istockphoto.com/id/518856979/photo/organic-baked-butternut-squash.jpg?s=612x612&w=0&k=20&c=lWnki7u0xS03t2XoJutR5M5_S_JPAfjezJtVEEv_LtI=
carrots,3,21,3,"[""American""]","[""Dairy""]","[""NA""]",https://media.istockphoto.com/id/1170729895/photo/indian-butter-chicken-horizontal-photo.jpg?s=612x612&w=0&k=20&c=4bZViynoVnP1HaWHIY1k5FvW-dj9DM2EOMHbKnAqYZ4=
cauliflower,6,3,1,"[""American""]","[""Dairy""]","[""Breakfast""]",https://media.istockphoto.com/id/1170729895/photo/indian-butter-chicken-horizontal-photo.jpg?s=612x612&w=0&k=20&c=4bZViynoVnP1HaWHIY1k5FvW-dj9DM2EOMHbKnAqYZ4=
celery,3,21,4,"[""American"", ""Italian""]","[""Dairy""]","[""Drinks""]",https://media.istockphoto.com/id/1170729895/photo/indian-butter-chicken-horizontal-photo.jpg?s=612x612&w=0&k=20&c=4bZViynoVnP1HaWHIY1k5FvW-dj9DM2EOMHbKnAqYZ4=
chana masala,27,15,5,"[""Indian""]","[""Dairy""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/1182758935/photo/homemade-indian-chickpea-chana-masala.jpg?s=612x612&w=0&k=20&c=t9hk82loyPEu37eFnA8v-oKGscX4_ektoiwUsXVsegs=
chapati,1,21,11,"[""Indian"", ""Japanese"", ""American"", ""Italian"", ""Mexican"", ""Mediterranean"", ""Seafood"", ""Chinese"", ""Thai""]","[""Dairy""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/516359240/photo/bhendi-masala-or-bhindi-masala-ladies-finger-curry-with-chapati.jpg?s=612x612&w=0&k=20&c=0mGnvNM2lxl-dTTJlhAfVJE5WidxYmmvrvNs1NZUKvs=
char grilled chicken tikka,1,21,4,"[""American"", ""Mediterranean""]","[""Dairy""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/178510336/photo/two-kebabs-of-indian-chicken-tikka.jpg?s=612x612&w=0&k=20&c=9h1qTqZufQ04Rzc1aqGu9vPiYAef8jB6lVvc75Jv1Xc=
charred tandoori chicken,1,21,3,"[""Indian"", ""Japanese"", ""American"", ""Italian"", ""Mexican"", ""Mediterranean"", ""Seafood"", ""Chinese"", ""Thai""]","[""Dairy""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/1287402209/photo/grilled-chicken-drumsticks-garnished-with-fresh-thyme.jpg?s=612x612&w=0&k=20&c=aYwZfhInaH-16sktQ_BhHtdruzD_TIWavpApm4zywMU=
cheddar cheese,2,0,5,"[""Indian"", ""Japanese"", ""American"", ""Italian"", ""Mexican"", ""Mediterranean"", ""Seafood"", ""Chinese"", ""Thai""]","[""Dairy""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/1447775759/photo/shredded-cheddar-cheese-grated-natural-cheese-in-a-wooden-bowl.jpg?s=612x612&w=0&k=20&c=TiCoBa746cBHTAlkPulX4Nc3encKAr6GSg4WXUV2LUo=
cherries,1,21,2,"[""Indian"", ""Japanese"", ""American"", ""Italian"", ""Mexican"", ""Mediterranean"", ""Seafood"", ""Chinese"", ""Thai""]","[""Dairy""]","[""NA""]",https://media.istockphoto.com/id/1170729895/photo/indian-butter-chicken-horizontal-photo.jpg?s=612x612&w=0&k=20&c=4bZViynoVnP1HaWHIY1k5FvW-dj9DM2EOMHbKnAqYZ4=
Tacos al Pastor,1,1,3,[],"[""Dairy""]","[""Drinks""]",https://media.istockphoto.com/id/1318944407/photo/pork-tacos-called-al-pastor-with-pineapple-on-dark-background-mexican-tacos.jpg?s=612x612&w=0&k=20&c=LXdBP6EYE5eSDUth3VcZjRDUnwO_B4rKKAUWjs9DiWs=
Enchiladas,18,13,35,"[""Indian""]","[""Dairy""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/984229014/photo/beef-enchiladas-with-tomato-sauce-and-cheese.jpg?s=612x612&w=0&k=20&c=2nYgRIDd--U7Hcegpt5LMFTIFFRQclJ6X23sndPja10=
Pozole,3,22,8,"[""Indian""]","[""Dairy""]","[""NA""]",https://media.istockphoto.com/id/612752556/photo/traditional-mexican-corn-soup.jpg?s=612x612&w=0&k=20&c=W6ov1HdvNLYn6nbJ7sqAm31Dmx4TRrOye3wC8jZNjzw=
Mole,25,4,3,"[""Indian""]","[""Dairy""]","[""NA""]",https://media.istockphoto.com/id/467645164/photo/mole-of-olla-mexican-food-mexican-food-studio-isolated.jpg?s=612x612&w=0&k=20&c=q1dw8y2Y0emdINFk5DfuRP_1dSz-mIoXMySnVYR7P5I=
Tamales,25,4,3,"[""Indian""]","[""Dairy""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/1226335721/photo/tamales-mexicanos-mexican-tamale-spicy-food-in-mexico.jpg?s=612x612&w=0&k=20&c=_lrDWG8pgBm_QfKHg_NkaUwB4F7iuZqu0J5jumm-TD4=
Chiles en Nogada,25,2,22,"[""American""]","[""Dairy""]","[""Breakfast"",""Snacks""]",https://media.istockphoto.com/id/1223918443/photo/chiles-en-nogada-and-ingredients-chile-poblano-traditional-mexican-food-in-puebla-mexico.jpg?s=612x612&w=0&k=20&c=zxZ6oIty44XxzpmxkSeNILe66IS593z28LryHChMr8o=
Burritos,10,13,35,"[""Indian""]","[""Dairy""]","[""Breakfast"",""Snacks""]",https://media.istockphoto.com/id/1313361282/photo/mexican-rice-and-chorizo-sausage-wrap.jpg?s=612x612&w=0&k=20&c=7BgOT-kuluQIlZ50l-p-DNvajA66EeB_HIUvW6O_GPM=
Elote,1,21,6,"[""Mediterranean""]","[""Dairy""]","[""Breakfast"",""Snacks""]",https://media.istockphoto.com/id/1282526185/photo/mexican-grilled-corn-elote-isolated-on-white-background.jpg?s=612x612&w=0&k=20&c=6xXfhJ8DGBFWC3zi6sLHLl43w2jBdjRdIZFacmDJmVY=
Guacamole,9,8,17,"[""Mexican""]","[""Dairy""]","[""Drinks""]",https://media.istockphoto.com/id/1490470359/photo/fresh-guacamole-in-a-wooden-bowl-with-ingredients-in-the-background.jpg?s=612x612&w=0&k=20&c=an1ql-a5Im25hp4FS-LwY9LgDlMzVuTMExAbZcOhGn8=
Pad Thai,30,25,24,"[""Mexican""]","[""Dairy""]","[""Drinks""]",https://media.istockphoto.com/id/1361821718/photo/homemade-asian-chicken-pad-thai.jpg?s=612x612&w=0&k=20&c=HgD28XbxpqKbAIzzWlUSrEgeG-NzUjTh1dGVG-Crg9c=
Tom Yum Soup,17,12,15,"[""Mexican""]","[""Dairy""]","[""Drinks""]",https://media.istockphoto.com/id/995757154/photo/hot-and-sour-soup-traditional-food-in-thailand-contains-chili-lime-ginger-galangal-lemongrass.jpg?s=612x612&w=0&k=20&c=R5oQ3wYdQbyUacrXrEWunjDdgkxsiaFfSDhurKGldW4=
Som Tam Papaya Salad,11,23,22,"[""Mexican""]","[""Dairy""]","[""Drinks""]",https://media.istockphoto.com/id/1481673415/photo/spicy-papaya-salad-with-fermented-fish-and-salted-crab-thai-recipe.jpg?s=612x612&w=0&k=20&c=EYbIh4bShsUEJ3V9gjNuiQy_bswlGMlLhoqMXc4_zTE=
Green Curry Chicken,10,12,22,"[""Mexican""]","[""Dairy""]","[""Drinks""]",https://media.istockphoto.com/id/619628284/photo/green-curry-with-chicken.jpg?s=612x612&w=0&k=20&c=zl5uMjeF6qKyZ-bpL-7RKw-clZ1qzgVff9iEe_G3mvw=
Massaman Curry,12,18,33,"[""Mexican""]","[""Dairy""]","[""Drinks""]",https://media.istockphoto.com/id/501824632/photo/thai-massaman-curry-with-chicken-and-rice-closeup-horizontal-to.jpg?s=612x612&w=0&k=20&c=zYmTsNG0ulpy0uzKsTXe-yoFwkQBGXE6qEkbjviNgTw=
Pad Kra Pao,10,23,24,"[""Mexican""]","[""Dairy""]","[""Breakfast"",""Snacks"",""NA""]",https://media.istockphoto.com/id/1298312804/photo/stir-fried-minced-meat-with-basil.jpg?s=612x612&w=0&k=20&c=zzsfkKk7_P6NTxtMqRQWTSfWI36hyPIcEqLVYuzJLMs=
Sticky Rice with Mango,25,20,54,"[""Mexican""]","[""Dairy""]","[""Breakfast"",""Snacks"",""NA""]",https://media.istockphoto.com/id/1147326546/photo/mango-and-sticky-rice-traditional-thai-dessert.jpg?s=612x612&w=0&k=20&c=qOMct-taC0UJp1_MuUIyEkGt6ht4wTs2cclmNjlzAZA=
Thai Fried Rice,4,5,28,"[""Mexican""]","[""Dairy""]","[""Breakfast"",""Snacks"",""NA""]",https://media.istockphoto.com/id/1396312249/photo/fried-rice-with-canned-tuna-fish.jpg?s=612x612&w=0&k=20&c=Q5AHUp59sCeeWZwt4iSVm4ar5Ad0Saf3FwCA_E5BBrI=
Spicy Minced Meat Salad,1,4,3,"[""Mexican""]","[""Dairy""]","[""Breakfast"",""Snacks"",""NA""]",https://media.istockphoto.com/id/1352567277/photo/healthy-homemade-mexican-carnitas-burrito-bowl.jpg?s=612x612&w=0&k=20&c=hT_LTR0D6UvGgFt-HM2eWcx5YM0AMz8TudR2twWY0ks=
Tom Kha Gai Coconut Chicken Soup,6,8,40,"[""Thai""]","[""Dairy""]","[""Breakfast"",""Snacks"",""NA""]",https://media.istockphoto.com/id/1174929314/photo/tom-kha-gai-soup.jpg?s=612x612&w=0&k=20&c=nfDRIcv7YrZxVuPXs9jZX1XBxrOXcF6exc5HmOUeetU=
Pasta Carbonara,4,4,12,"[""Thai""]","[""Dairy""]","[""Breakfast"",""Snacks"",""NA""]",https://media.istockphoto.com/id/1581084025/photo/plate-with-spaghetti-carbonara-on-a-laid-table.jpg?s=612x612&w=0&k=20&c=8tKlSwoS2e0TE4N7Hb2wgQnCtnY89hHCQ2WytnWU1ug=
Margherita Pizza,3,2,19,"[""Thai""]","[""Dairy""]","[""Breakfast"",""Snacks"",""NA""]",https://media.istockphoto.com/id/1414575281/photo/a-delicious-and-tasty-italian-pizza-margherita-with-tomatoes-and-buffalo-mozzarella.jpg?s=612x612&w=0&k=20&c=v8mdiAa_5NaRYtIscClXe85lLzkx7loSd9_pJWt9G2o=
Osso Buco,28,27,22,"[""Thai""]","[""Dairy""]","[""Breakfast"",""Snacks"",""NA""]",https://media.istockphoto.com/id/1304771356/photo/beef-leg-slice-with-marrow-italian-menu-braised-veal-steak-ossobuco-alla-milanese-with.jpg?s=612x612&w=0&k=20&c=47Jdgd5pFFaTBpWaoGu8pO-tBGqdcH-XAJcGcC_j06E=
Risotto,2,25,12,"[""Thai""]","[""Dairy""]","[""Drinks""]",https://media.istockphoto.com/id/1368433094/photo/risotto-with-mushrooms-cheese-and-thyme-vegetarian-food-italian-food.jpg?s=612x612&w=0&k=20&c=VW3ZwcvFVeiF8DCXtyGH-QHd_opB_U799dZuiz8fgpU=
Lasagna,20,25,40,"[""Thai""]","[""Dairy""]","[""Drinks""]",https://media.istockphoto.com/id/1303741768/photo/italian-lasagna-with-tomato-sauce-and-cheese-served-with-tomatoes-and-spinach-light-concrete.jpg?s=612x612&w=0&k=20&c=bhXJi5_c3GTohG7BTu2pxLAanHqnw2FGeWSquuSsvwM=
Parmigiana,4,8,45,"[""Indian"", ""Mediterranean""]","[""Dairy""]","[""Drinks""]",https://media.istockphoto.com/id/503203991/photo/homemade-italian-chicken-parmesan.jpg?s=612x612&w=0&k=20&c=T0eI0IqYYWJYvihT9itVeng0MMubNxCpz133VC_qhI0=
Minestrone soup,18,13,35,"[""Thai""]","[""Dairy""]","[""Drinks""]",https://media.istockphoto.com/id/518145080/photo/minestrone-soup-on-the-pot.jpg?s=612x612&w=0&k=20&c=sKroe1_2X3pE-h4gzgL8J7f3wHfAOtw8msbjndmO8H4=
Gnocchi,25,15,8,"[""Indian""]","[""Dairy""]","[""Snacks""]",https://media.istockphoto.com/id/1201441614/photo/serving-of-gnocchi-pasta-with-pomodoro-sauce.jpg?s=612x612&w=0&k=20&c=7Top827Vq3k7xWnkHnFmDLIu8R8AjmfSqtEKKxQtLAA=
Tiramisu,20,18,10,"[""Thai""]","[""Dairy""]","[""Snacks""]",https://media.istockphoto.com/id/1061450296/photo/portion-of-tiramisu-dessert.jpg?s=612x612&w=0&k=20&c=JyWeXtC9k7a4pGPhJxmedRFiR2WWt6-iYmDFdP6CScc=
Pasta al Pesto,15,18,42,"[""Italian""]","[""Dairy""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/504338986/photo/trofie-pasta-with-pesto-italian-cuisine.jpg?s=612x612&w=0&k=20&c=LF9-_wtMRagZ_saD-LSOKTRQbCp_iS00qmt7Ky1Qc3c=
Sushi,12,10,35,"[""Italian""]","[""Dairy""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/1555947107/photo/set-of-sushi-and-maki.jpg?s=612x612&w=0&k=20&c=Tdt7UyRfO-JERN_SXIdf-l8uhD_dVDyH-xzXYh2Q5-Y=
Ramen,28,15,8,"[""Italian""]","[""Dairy""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/1406672650/photo/japanese-tonkotsu-ramen.jpg?s=612x612&w=0&k=20&c=XfwavYs_chHo-S-M7IWoK7IxEXzYxd3dFyihnvC_zkI=
Tempura,8,12,45,"[""Italian""]","[""Dairy""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/1308870971/photo/flat-lay-of-japanese-vegetable-tempura-recipe-with-ginger-ponzu-sauce-black-background-from.jpg?s=612x612&w=0&k=20&c=xuBG78VH6ErsB7wffBdX2vQFvkqAxS3V8-Djnl4znmw=
Udon,20,20,35,"[""Italian""]","[""Dairy""]","[""Breakfast"",""Snacks""]",https://media.istockphoto.com/id/926663774/photo/pad-thai-vegetarian-vegetables-udon-noodles-in-a-dark-background-top-view-vegetarian-food-in.jpg?s=612x612&w=0&k=20&c=OYjE5_Z9_ZCpG0yNW9aVfVFp7l9n2AquesjHJWyZOq0=
Tonkatsu,12,18,15,"[""Italian""]","[""Dairy""]","[""Drinks""]",https://media.istockphoto.com/id/487660102/photo/japanese-food-pork-tonkatsu.jpg?s=612x612&w=0&k=20&c=3pOEnMYuDg04yaMc2rcP2EhfPpoZ9TIWjexAq4-ZdSg=
Yakitori,6,5,20,"[""Italian""]","[""Dairy""]","[""Drinks""]",https://media.istockphoto.com/id/908941218/photo/yakitori-grilled-chicken-skewers.jpg?s=612x612&w=0&k=20&c=K03LIV6qD2HihUV0b-nqI-0HgCZwvaUtgpdnMVHzAww=
Sashimi,6,8,40,"[""Italian""]","[""Dairy""]","[""Drinks""]",https://media.istockphoto.com/id/1124495208/photo/salmon-sashimi-with-shoyu-sauce.jpg?s=612x612&w=0&k=20&c=WVHM5pK9h7cC_XVvbCNFEmh7GjeorEcUFebIsLPJuuo=
Okonomiyaki,7,20,35,"[""Italian""]","[""Dairy""]","[""Breakfast""]",https://media.istockphoto.com/id/1124522375/photo/hiroshima-style-okonomi-japanese-pancake.jpg?s=612x612&w=0&k=20&c=D8ovQV74kF03SEWcqeIUMJEZfd5NLIQxccmTNWfLCac=
Gyoza,12,15,42,"[""Italian""]","[""Dairy""]","[""Breakfast""]",https://media.istockphoto.com/id/1128055695/photo/gyoza-or-dumplings-snack-with-soy-sauce-selective-focus.jpg?s=612x612&w=0&k=20&c=WMAkrWxkz90pLnoNWeCf9ppGMvJUjWzEpK_GVAQL5kY=
Greek Salad,8,2,30,"[""Japanese""]","[""Dairy""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/1161711740/photo/greek-salad-with-fresh-vegetables-feta-cheese-and-kalamata-olives-healthy-food-top-view.jpg?s=612x612&w=0&k=20&c=pQy_0z1-a4YqY1bGc2JpVLgEL3oDYLJqEsQNNVwQ5SQ=
Hummus,15,8,45,"[""Japanese""]","[""Dairy""]","[""NA""]",https://media.istockphoto.com/id/955998652/photo/homemade-chickpea-hummus-bowl-with-pita-chips-and-paprika.jpg?s=612x612&w=0&k=20&c=H3m78rhd7113mc06CqBKLH4PVn7e8AUmTes2yCQEzlY=
Falafel,12,15,25,"[""Japanese""]","[""Dairy""]","[""Breakfast"",""Snacks""]",https://media.istockphoto.com/id/1438173992/photo/falafel-balls-falafel-fried-falafel-balls-falafel-with-vegetable.jpg?s=612x612&w=0&k=20&c=QXO1TmXMVK6bqA9FvIqcymo-7oGrjLAkXWvoXwRplig=
Moussaka,10,3,42,"[""Japanese""]","[""Dairy""]","[""Breakfast"",""Snacks""]",https://media.istockphoto.com/id/491857818/photo/moussaka-a-traditional-greek-dish.jpg?s=612x612&w=0&k=20&c=6hFmgujGAVf3KVI3pBCEXBTpSMtiVzfT_kU8EHT8LAc=
Tabbouleh,4,2,8,"[""Japanese""]","[""Dairy""]","[""Breakfast"",""Snacks""]",https://media.istockphoto.com/id/638197896/photo/healthy-organic-quinoa-tabouli-salad.jpg?s=612x612&w=0&k=20&c=gdkzYahN7rKnkXi8aGuS_Q0QaIOhixNu-UzGM5TZrAY=
Dolmades,25,18,15,"[""Japanese""]","[""Dairy""]","[""Breakfast"",""Snacks""]",https://media.istockphoto.com/id/1263145587/photo/dolma-dolmades-or-dolmadakia.jpg?s=612x612&w=0&k=20&c=uBqJxxJOlS4CgE9uw-84q0wqs9PIvhzBIr88qTQSQbw=
Spanakopita,20,10,5,"[""Japanese""]","[""Dairy""]","[""Breakfast"",""Snacks""]",https://media.istockphoto.com/id/1465617938/photo/spanakopita-greek-cuisine.jpg?s=612x612&w=0&k=20&c=LgG3kBx_xgTfHYZJdQcSu7foB8NVBeiUCCfYmc8W9vQ=
Shakshuka,22,5,0,"[""Japanese""]","[""Dairy""]","[""Drinks"",""Snacks""]",https://media.istockphoto.com/id/1396762374/photo/shakshuka-in-pan-on-kitchen-counter.jpg?s=612x612&w=0&k=20&c=d4Thg-r97kpo0VFQJbB1OASPI2EFfb8n5Vf8H3_PjyY=
Baba Ganoush,12,15,25,"[""Japanese""]","[""Dairy""]","[""Drinks"",""Snacks""]",https://media.istockphoto.com/id/1341496259/photo/baba-ghanoush-babaganoush-or-eggplant-hummus-on-the-bowl-with-bread-traditional-middle.jpg?s=612x612&w=0&k=20&c=-bxwGLTj1460uySCYkzAPP6Qhz-a7tF7aJM0oY0fjBA=
Grilled Octopus,8,10,28,"[""Japanese""]","[""Dairy""]","[""Drinks"",""Snacks""]",https://media.istockphoto.com/id/646483290/photo/grilled-octopus-on-a-plate.jpg?s=612x612&w=0&k=20&c=P3PrQHo_IGz8lZ4ButwZ-17qJqg6q1JBhsp0OyfG284=
Hamburger,8,15,10,"[""Mediterranean""]","[""Dairy""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/1398630614/photo/bacon-cheeseburger-on-a-toasted-bun.jpg?s=612x612&w=0&k=20&c=3HWrUVnS-FsJETFlCWnDH2-1ekJ0ic3T3XPrhLjpo98=
Cheeseburger,8,12,20,"[""Mediterranean""]","[""Dairy""]","[""Lunch"",""Dinner""]",https://media.istockphoto.com/id/1438143625/photo/double-cheese-beef-burger-with-kitchen-background.jpg?s=612x612&w=0&k=20&c=ZApLb9V7HEHcCa12vKG_4x2314tYUML3CLofF_KBMM4=
French Fries,12,15,28,"[""Mediterranean""]","[""Dairy""]","[""Drinks"",""Snacks""]",https://media.istockphoto.com/id/966934632/photo/appetizing-french-fries-in-a-bowl.jpg?s=612x612&w=0&k=20&c=6mKRNQ-PWQRQg0RAXyCQZeRZRoSzohqVWhT-SKVXd04=
